RegionName,State,Metro,CountyName,2018-12
Corvallis,OR,Corvallis,Benton County,875
Bellevue,NE,Omaha-Council Bluffs,Sarpy County,776
Rockville,MD,Washington-Arlington-Alexandria,Montgomery County,1829
Eagan,MN,Minneapolis-St. Paul-Bloomington,Dakota County,1230
Vienna,VA,Washington-Arlington-Alexandria,Fairfax County,1765
Palatine,IL,Chicago-Naperville-Elgin,Cook County,1150
Lorain,OH,Cleveland-Elyria,Lorain County,512
East Orange,NJ,New York-Newark-Jersey City,Essex County,1215
Hendersonville,TN,Nashville-Davidson--Murfreesboro--Franklin,Sumner County,999
Fountainbleau,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1400
Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange County,2165
Towson,MD,Baltimore-Columbia-Towson,Baltimore County,1339
West Hartford,CT,Hartford-West Hartford-East Hartford,Hartford County,1275
Reston,VA,Washington-Arlington-Alexandria,Fairfax County,2030
Tamarac,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1150
North Bergen,NJ,New York-Newark-Jersey City,Hudson County,2222.5
Waltham,MA,Boston-Cambridge-Newton,Middlesex County,1990
Eden Prairie,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,1263
Wellington,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1684.5
North Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1270
San Clemente,CA,Los Angeles-Long Beach-Anaheim,Orange County,1870
Broomfield,CO,Denver-Aurora-Lakewood,Broomfield County,1495
Haverhill,MA,Boston-Cambridge-Newton,Essex County,1550
Dundalk,MD,Baltimore-Columbia-Towson,Baltimore County,910
Harlingen,TX,Brownsville-Harlingen,Cameron County,575
Hamden,CT,New Haven-Milford,New Haven County,1207.5
Huntersville,NC,Charlotte-Concord-Gastonia,Mecklenburg County,1070.5
Burnsville,MN,Minneapolis-St. Paul-Bloomington,Dakota County,1127
West Chester,OH,Cincinnati,Butler County,1057.5
Cedar Park,TX,Austin-Round Rock,Williamson County,1123.5
Malden,MA,Boston-Cambridge-Newton,Middlesex County,1700
Taylorsville,UT,Salt Lake City,Salt Lake County,874
Greenwich,CT,Bridgeport-Stamford-Norwalk,Fairfield County,1875
Missoula,MT,Missoula,Missoula County,765
Gloucester,NJ,Philadelphia-Camden-Wilmington,Camden County,1022
Annandale,VA,Washington-Arlington-Alexandria,Fairfax County,1449
Cupertino,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2636.5
Brookline,MA,Boston-Cambridge-Newton,Norfolk County,2200
Edmonds,WA,Seattle-Tacoma-Bellevue,Snohomish County,1335
Royal Oak,MI,Detroit-Warren-Dearborn,Oakland County,999
Saint Peters,MO,St. Louis,Saint Charles County,950
Petersburg,VA,Richmond,Petersburg City,919
West Des Moines,IA,Des Moines-West Des Moines,Polk County,990
Wheaton,IL,Chicago-Naperville-Elgin,DuPage County,1250
Olympia,WA,Olympia-Tumwater,Thurston County,1161
Manchester,CT,Hartford-West Hartford-East Hartford,Hartford County,1095
Medford,MA,Boston-Cambridge-Newton,Middlesex County,1910
White Plains,NY,New York-Newark-Jersey City,Westchester County,2300
Grand Forks,ND,Grand Forks,Grand Forks County,600
Bayonne,NJ,New York-Newark-Jersey City,Hudson County,1349
Goose Creek,SC,Charleston-North Charleston,Berkeley County,1035
Piscataway,NJ,New York-Newark-Jersey City,Middlesex County,1422
Fountain Valley,CA,Los Angeles-Long Beach-Anaheim,Orange County,1790
Coconut Creek,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1435
Altamonte Springs,FL,Orlando-Kissimmee-Sanford,Seminole County,1044.5
Berwyn,IL,Chicago-Naperville-Elgin,Cook County,850
New Brunswick,NJ,New York-Newark-Jersey City,Middlesex County,1900.5
Mount Prospect,IL,Chicago-Naperville-Elgin,Cook County,1091
Bensalem,PA,Philadelphia-Camden-Wilmington,Bucks County,1135
Margate,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1200
Wayne,NJ,New York-Newark-Jersey City,Passaic County,1895
Weymouth,MA,Boston-Cambridge-Newton,Norfolk County,1861
McLean,VA,Washington-Arlington-Alexandria,Fairfax County,2099.5
Euless,TX,Dallas-Fort Worth-Arlington,Tarrant County,1245
Charleston,WV,Charleston,Kanawha County,600
Palm Desert,CA,Riverside-San Bernardino-Ontario,Riverside County,1375
The Hammocks,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1315
Longwood,FL,Orlando-Kissimmee-Sanford,Seminole County,1230
Owings Mills,MD,Baltimore-Columbia-Towson,Baltimore County,1266
Lenexa,KS,Kansas City,Johnson County,815.5
Hoboken,NJ,New York-Newark-Jersey City,Hudson County,2400
Shoreline,WA,Seattle-Tacoma-Bellevue,King County,1412.5
West Haven,CT,New Haven-Milford,New Haven County,1000
Puyallup,WA,Seattle-Tacoma-Bellevue,Pierce County,1235
Morgantown,WV,Morgantown,Monongalia County,600
West New York,NJ,New York-Newark-Jersey City,Hudson County,2085
Oak Park,IL,Chicago-Naperville-Elgin,Cook County,1240
Catonsville,MD,Baltimore-Columbia-Towson,Baltimore County,1080
Peabody,MA,Boston-Cambridge-Newton,Essex County,1799
Stratford,CT,Bridgeport-Stamford-Norwalk,Fairfield County,1400
Brookhaven,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,1380
Doral,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1830
Tigard,OR,Portland-Vancouver-Hillsboro,Washington County,1243
North Bethesda,MD,Washington-Arlington-Alexandria,Montgomery County,1785.5
Urbana,IL,Champaign-Urbana,Champaign County,655
Grapevine,TX,Dallas-Fort Worth-Arlington,Tarrant County,1425
Edina,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,1555
Palm Springs,CA,Riverside-San Bernardino-Ontario,Riverside County,1347.5
Dublin,OH,Columbus,Franklin County,984.5
Aliso Viejo,CA,Los Angeles-Long Beach-Anaheim,Orange County,1895
Revere,MA,Boston-Cambridge-Newton,Suffolk County,2130
Milford,CT,New Haven-Milford,New Haven County,1585
Cerritos,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2278
Dublin,CA,San Francisco-Oakland-Hayward,Alameda County,2361.5
Galveston,TX,Houston-The Woodlands-Sugar Land,Galveston County,850
Harrisburg,PA,Harrisburg-Carlisle,Dauphin County,745
Fort Washington,MD,Washington-Arlington-Alexandria,Prince Georges County,1260
Littleton,CO,Denver-Aurora-Lakewood,Arapahoe County,1324
Rowlett,TX,Dallas-Fort Worth-Arlington,Dallas County,1159.5
Middletown,CT,Hartford-West Hartford-East Hartford,Middlesex County,1065
Saint Louis Park,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,1295
Wauwatosa,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,1342.5
Bloomfield,NJ,New York-Newark-Jersey City,Essex County,1437.5
Minnetonka,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,1445
Burien,WA,Seattle-Tacoma-Bellevue,King County,1461
Dunwoody,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,1294
Campbell,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2400
Lakewood,OH,Cleveland-Elyria,Cuyahoga County,699
East Brunswick,NJ,New York-Newark-Jersey City,Middlesex County,1972.5
Issaquah,WA,Seattle-Tacoma-Bellevue,King County,1785
Cleveland Heights,OH,Cleveland-Elyria,Cuyahoga County,625
Arlington,MA,Boston-Cambridge-Newton,Middlesex County,1695
Country Club,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1300
Hackensack,NJ,New York-Newark-Jersey City,Bergen County,1625
York,PA,York-Hanover,York County,650
Winter Springs,FL,Orlando-Kissimmee-Sanford,Seminole County,1214
Oakland Park,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1175
Windsor Mill,MD,Baltimore-Columbia-Towson,Baltimore County,960
Covington,KY,Cincinnati,Kenton County,700
Rancho Santa Margarita,CA,Los Angeles-Long Beach-Anaheim,Orange County,1860
Carol Stream,IL,Chicago-Naperville-Elgin,DuPage County,994.5
Lake Mary,FL,Orlando-Kissimmee-Sanford,Seminole County,1173
Belleville,IL,St. Louis,Saint Clair County,550
Coppell,TX,Dallas-Fort Worth-Arlington,Dallas County,1103
Menlo Park,CA,San Francisco-Oakland-Hayward,San Mateo County,2700
Burlington,VT,Burlington-South Burlington,Chittenden County,1200
San Bruno,CA,San Francisco-Oakland-Hayward,San Mateo County,2530
The Colony,TX,Dallas-Fort Worth-Arlington,Denton County,1030
Salem,MA,Boston-Cambridge-Newton,Essex County,1685
Norwich,CT,Norwich-New London,New London County,900
Casselberry,FL,Orlando-Kissimmee-Sanford,Seminole County,1200
Marlborough,MA,Boston-Cambridge-Newton,Middlesex County,1616
Montclair,NJ,New York-Newark-Jersey City,Essex County,1612.5
Hilliard,OH,Columbus,Franklin County,1010
Great Neck,NY,New York-Newark-Jersey City,Nassau County,2625
Hallandale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1450
Culver City,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2208
Saratoga Springs,NY,Albany-Schenectady-Troy,Saratoga County,1290.5
Chelsea,MA,Boston-Cambridge-Newton,Suffolk County,1833
Boerne,TX,San Antonio-New Braunfels,Kendall County,917
Hurst,TX,Dallas-Fort Worth-Arlington,Tarrant County,803
Aventura,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1700
Englewood,CO,Denver-Aurora-Lakewood,Arapahoe County,1386
Northglenn,CO,Denver-Aurora-Lakewood,Adams County,1260
Franconia,VA,Washington-Arlington-Alexandria,Fairfax County,1712.5
Braintree,MA,Boston-Cambridge-Newton,Norfolk County,2030
District Heights,MD,Washington-Arlington-Alexandria,Prince Georges County,1103
Bentonville,AR,Fayetteville-Springdale-Rogers,Benton County,722
Beverly,MA,Boston-Cambridge-Newton,Essex County,1765
Cedar Falls,IA,Waterloo-Cedar Falls,Black Hawk County,725
Lake Worth,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1000
West Hollywood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2500
Roseville,MN,Minneapolis-St. Paul-Bloomington,Ramsey County,1007.5
University,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,820
Andover,MA,Boston-Cambridge-Newton,Essex County,1925
Reisterstown,MD,Baltimore-Columbia-Towson,Baltimore County,1000
Los Gatos,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2595
Hagerstown,MD,Hagerstown-Martinsburg,Washington County,650
Beverly Hills,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2550
Pleasant Hill,CA,San Francisco-Oakland-Hayward,Contra Costa County,2000
Gurnee,IL,Chicago-Naperville-Elgin,Lake County,1304
Randolph,MA,Boston-Cambridge-Newton,Norfolk County,1773
Leander,TX,Austin-Round Rock,Williamson County,1090.5
Paine Field-Lake Stickney,WA,Seattle-Tacoma-Bellevue,Snohomish County,1252.5
Watertown,MA,Boston-Cambridge-Newton,Middlesex County,2300
Foster City,CA,San Francisco-Oakland-Hayward,San Mateo County,2938
Cottonwood Heights,UT,Salt Lake City,Salt Lake County,1058
Carbondale,IL,Carbondale-Marion,Jackson County,550
Riviera Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1060
Farmers Branch,TX,Dallas-Fort Worth-Arlington,Dallas County,1478
Dover,DE,Dover,Kent County,908.5
Saint Charles,IL,Chicago-Naperville-Elgin,Kane County,1295
Elkridge,MD,Baltimore-Columbia-Towson,Howard County,1660
Winter Park,FL,Orlando-Kissimmee-Sanford,Orange County,1185
Odenton,MD,Baltimore-Columbia-Towson,Anne Arundel County,1610
Neptune,NJ,New York-Newark-Jersey City,Monmouth County,1600
Rolla,MO,Rolla,Phelps County,425
Midvale,UT,Salt Lake City,Salt Lake County,999
Burlingame,CA,San Francisco-Oakland-Hayward,San Mateo County,2714
Ross,PA,Pittsburgh,Allegheny County,859
Parkville,MD,Baltimore-Columbia-Towson,Baltimore County,1015
Coram,NY,New York-Newark-Jersey City,Suffolk County,1752.5
Monterey,CA,Salinas,Monterey County,1675
North Royalton,OH,Cleveland-Elyria,Cuyahoga County,865
Orange,NJ,New York-Newark-Jersey City,Essex County,1197.5
Needham,MA,Boston-Cambridge-Newton,Norfolk County,2719
Dania Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1150
College Park,MD,Washington-Arlington-Alexandria,Prince Georges County,1790
Port Chester,NY,New York-Newark-Jersey City,Westchester County,2059
Norwood,MA,Boston-Cambridge-Newton,Norfolk County,1786
Laguna Hills,CA,Los Angeles-Long Beach-Anaheim,Orange County,1810
Long Branch,NJ,New York-Newark-Jersey City,Monmouth County,1335
Beltsville,MD,Washington-Arlington-Alexandria,Prince Georges County,1410
Long Beach,NY,New York-Newark-Jersey City,Nassau County,1900
Stoughton,MA,Boston-Cambridge-Newton,Norfolk County,1701
Englewood,NJ,New York-Newark-Jersey City,Bergen County,2240
Williston,ND,Williston,Williams County,937.5
King of Prussia,PA,Philadelphia-Camden-Wilmington,Montgomery County,1820
Lisle,IL,Chicago-Naperville-Elgin,DuPage County,1270
Melrose,MA,Boston-Cambridge-Newton,Middlesex County,2200
Lower Merion,PA,Philadelphia-Camden-Wilmington,Montgomery County,1760
Dana Point,CA,Los Angeles-Long Beach-Anaheim,Orange County,2150
New London,CT,Norwich-New London,New London County,915
Temple Hills,MD,Washington-Arlington-Alexandria,Prince Georges County,1115
Morrisville,NC,Raleigh,Wake County,1094
Burlington,MA,Boston-Cambridge-Newton,Middlesex County,1895
Groveton,VA,Washington-Arlington-Alexandria,Fairfax County,1672.5
Temple Terrace,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,1172
Mercer Island,WA,Seattle-Tacoma-Bellevue,King County,1731
Vinings,GA,Atlanta-Sandy Springs-Roswell,Cobb County,1300
Zionsville,IN,Indianapolis-Carmel-Anderson,Boone County,995
Eastchester,NY,New York-Newark-Jersey City,Westchester County,2392.5
Lower Paxton,PA,Harrisburg-Carlisle,Dauphin County,896.5
Silverdale,WA,Bremerton-Silverdale,Kitsap County,1400
Westmont,IL,Chicago-Naperville-Elgin,DuPage County,1107
Lexington Park,MD,California-Lexington Park,Saint Marys County,1132.5
Plainsboro,NJ,New York-Newark-Jersey City,Middlesex County,1350
Westchase,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,1241
Citrus Ridge,FL,Orlando-Kissimmee-Sanford,Osceola County,1210
Blythewood,SC,Columbia,Richland County,924
Wilsonville,OR,Portland-Vancouver-Hillsboro,Clackamas County,1211.5
Bixby,OK,Tulsa,Tulsa County,1085
Lyndhurst,NJ,New York-Newark-Jersey City,Bergen County,2187.5
Ives Estates,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1400
Golden Valley,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,1660
Decatur,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,1490
Hatfield,PA,Philadelphia-Camden-Wilmington,Montgomery County,1200
Mill Creek,WA,Seattle-Tacoma-Bellevue,Snohomish County,1695
Birmingham,MI,Detroit-Warren-Dearborn,Oakland County,1250
Chevy Chase,MD,Washington-Arlington-Alexandria,Montgomery County,1999
Hyattsville,MD,Washington-Arlington-Alexandria,Prince Georges County,1741.5
Laguna Beach,CA,Los Angeles-Long Beach-Anaheim,Orange County,2400
Coralville,IA,Iowa City,Johnson County,925
Jacksonville Beach,FL,Jacksonville,Duval County,1379
Sunny Isles Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1790
Maple Shade,NJ,Philadelphia-Camden-Wilmington,Burlington County,1065
Secaucus,NJ,New York-Newark-Jersey City,Hudson County,2285
Morristown,NJ,New York-Newark-Jersey City,Morris County,2520
Hermosa Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2500
Mamaroneck,NY,New York-Newark-Jersey City,Westchester County,1850
North Druid Hills,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,1240
Ojus,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1250
Exton,PA,Philadelphia-Camden-Wilmington,Chester County,1480
Creve Coeur,MO,St. Louis,Saint Louis County,961
Glenvar Heights,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2027
Stafford,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,1030
Hanover,MD,Baltimore-Columbia-Towson,Anne Arundel County,1643.5
Cohoes,NY,Albany-Schenectady-Troy,Albany County,1350
Phoenixville,PA,Philadelphia-Camden-Wilmington,Chester County,1475
Prosper,TX,Dallas-Fort Worth-Arlington,Collin County,1054
Maitland,FL,Orlando-Kissimmee-Sanford,Orange County,1451
Harrison,NJ,New York-Newark-Jersey City,Hudson County,2305
Greenwood Village,CO,Denver-Aurora-Lakewood,Arapahoe County,1495
Destin,FL,Crestview-Fort Walton Beach-Destin,Okaloosa County,1435
La Grange,IL,Chicago-Naperville-Elgin,Cook County,1810
Addison,TX,Dallas-Fort Worth-Arlington,Dallas County,1263.5
Forest Park,IL,Chicago-Naperville-Elgin,Cook County,1050
Weehawken,NJ,New York-Newark-Jersey City,Hudson County,2550
Wynnewood,PA,Philadelphia-Camden-Wilmington,Montgomery County,1601
Druid Hills,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,1397.5
Malvern,PA,Philadelphia-Camden-Wilmington,Chester County,1550
Lone Tree,CO,Denver-Aurora-Lakewood,Douglas County,1419
Key Biscayne,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2375
Superior,CO,Boulder,Boulder County,1557
Willowbrook,IL,Chicago-Naperville-Elgin,DuPage County,1280
Wilton Manors,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1299
Guttenberg,NJ,New York-Newark-Jersey City,Hudson County,1900
Edgewater,NJ,New York-Newark-Jersey City,Bergen County,2502
Conshohocken,PA,Philadelphia-Camden-Wilmington,Montgomery County,1523
Saint Robert,MO,Fort Leonard Wood,Pulaski County,560
Largo,MD,Washington-Arlington-Alexandria,Prince Georges County,1420
Emeryville,CA,San Francisco-Oakland-Hayward,Alameda County,2657
Huntington,VA,Washington-Arlington-Alexandria,Fairfax County,1665
Marina del Rey,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2925
Chamblee,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,1349
North Bay Village,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1775
Century Village,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,875
Surfside,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1850
Bay Harbor Islands,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1550
Bal Harbour,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2650
