RegionName,State,Metro,CountyName,2018-12
Chesapeake,VA,Virginia Beach-Norfolk-Newport News,Chesapeake City,1140
Fort Myers,FL,Cape Coral-Fort Myers,Lee County,962.5
Garland,TX,Dallas-Fort Worth-Arlington,Dallas County,1159
Gilbert,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1123
North Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,995
Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2275
Santa Clarita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1785
Irving,TX,Dallas-Fort Worth-Arlington,Dallas County,1270.5
Arlington,VA,Washington-Arlington-Alexandria,Arlington County,1995
Springfield,MO,Springfield,Greene County,535
Birmingham,AL,Birmingham-Hoover,Jefferson County,900
Santa Rosa,CA,Santa Rosa,Sonoma County,1800
Greenville,SC,Greenville-Anderson-Mauldin,Greenville County,1000
Richmond,VA,Richmond,Richmond City,1099
Des Moines,IA,Des Moines-West Des Moines,Polk County,940
Boca Raton,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1714
Bradenton,FL,North Port-Sarasota-Bradenton,Manatee County,1089.5
Woodbridge,VA,Washington-Arlington-Alexandria,Prince William County,1416
Rochester,NY,Rochester,Monroe County,775
Montgomery,AL,Montgomery,Montgomery County,610
Corona,CA,Riverside-San Bernardino-Ontario,Riverside County,1658
Oceanside,CA,San Diego-Carlsbad,San Diego County,1650
Tacoma,WA,Seattle-Tacoma-Bellevue,Pierce County,1245
Gainesville,FL,Gainesville,Alachua County,942
Yonkers,NY,New York-Newark-Jersey City,Westchester County,1750
Shreveport,LA,Shreveport-Bossier City,Caddo Parish,575
Moreno Valley,CA,Riverside-San Bernardino-Ontario,Riverside County,1215
Akron,OH,Akron,Summit County,550
Aurora,IL,Chicago-Naperville-Elgin,Kane County,1266
Wilmington,NC,Wilmington,New Hanover County,900
Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange County,2090
Salt Lake City,UT,Salt Lake City,Salt Lake County,1215
Salinas,CA,Salinas,Monterey County,1448
Amarillo,TX,Amarillo,Potter County,550
Little Rock,AR,Little Rock-North Little Rock-Conway,Pulaski County,710.5
Fort Collins,CO,Fort Collins,Larimer County,1310
Hayward,CA,San Francisco-Oakland-Hayward,Alameda County,1907
Rockford,IL,Rockford,Winnebago County,535
Evansville,IN,Evansville,Vanderburgh County,525
Overland Park,KS,Kansas City,Johnson County,969
Garden Grove,CA,Los Angeles-Long Beach-Anaheim,Orange County,1566.5
Grand Prairie,TX,Dallas-Fort Worth-Arlington,Dallas County,1056
Providence,RI,Providence-Warwick,Providence County,1500
Fort Lauderdale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1644.5
Ontario,CA,Riverside-San Bernardino-Ontario,San Bernardino County,1638
Columbus,GA,Columbus,Muscogee County,580
Sioux Falls,SD,Sioux Falls,Minnehaha County,750
Charleston,SC,Charleston-North Charleston,Charleston County,1400
Tempe,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1062
Rancho Cucamonga,CA,Riverside-San Bernardino-Ontario,San Bernardino County,1667
Killeen,TX,Killeen-Temple,Bell County,445
Fredericksburg,VA,Washington-Arlington-Alexandria,Spotsylvania County,1240.5
Newport News,VA,Virginia Beach-Norfolk-Newport News,Newport News City,910
Roanoke,VA,Roanoke,Roanoke City,695
El Cajon,CA,San Diego-Carlsbad,San Diego County,1339
Elk Grove,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,1524
Peoria,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1115
Naperville,IL,Chicago-Naperville-Elgin,DuPage County,1335.5
Fairfax,VA,Washington-Arlington-Alexandria,Fairfax County,1689
Boynton Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1474
Topeka,KS,Topeka,Shawnee County,550
McKinney,TX,Dallas-Fort Worth-Arlington,Collin County,1089
Pembroke Pines,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1400
Edmond,OK,Oklahoma City,Oklahoma County,736
Salem,OR,Salem,Marion County,845
Spring,TX,Houston-The Woodlands-Sugar Land,Harris County,1160
Henrico,VA,Richmond,Henrico County,1145
Dayton,OH,Dayton,Montgomery County,499
Lakewood,CO,Denver-Aurora-Lakewood,Jefferson County,1440
Alexandria,VA,Washington-Arlington-Alexandria,Alexandria City,1728
Tyler,TX,Tyler,Smith County,875
Pomona,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1473
Cypress,TX,Houston-The Woodlands-Sugar Land,Harris County,1084
Round Rock,TX,Austin-Round Rock,Williamson County,1063
Ann Arbor,MI,Ann Arbor,Washtenaw County,1200
Kansas City,KS,Kansas City,Wyandotte County,806
Hollywood,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1400
Sunnyvale,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2405
Conroe,TX,Houston-The Woodlands-Sugar Land,Montgomery County,1086
Lansing,MI,Lansing-East Lansing,Ingham County,605
Cary,NC,Raleigh,Wake County,1110
Paterson,NJ,New York-Newark-Jersey City,Passaic County,1200
Columbia,MO,Columbia,Boone County,520
Syracuse,NY,Syracuse,Onondaga County,812.5
Frisco,TX,Dallas-Fort Worth-Arlington,Collin County,1350
Renton,WA,Seattle-Tacoma-Bellevue,King County,1386.5
Bridgeport,CT,Bridgeport-Stamford-Norwalk,Fairfield County,1050
Newark,DE,Philadelphia-Camden-Wilmington,New Castle County,897
Mesquite,TX,Dallas-Fort Worth-Arlington,Dallas County,861
Pasadena,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2205
Torrance,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1725
Clearwater,FL,Tampa-St. Petersburg-Clearwater,Pinellas County,1080
Fullerton,CA,Los Angeles-Long Beach-Anaheim,Orange County,1800
Orange,CA,Los Angeles-Long Beach-Anaheim,Orange County,2091.5
Hampton,VA,Virginia Beach-Norfolk-Newport News,Hampton City,899
Bellevue,WA,Seattle-Tacoma-Bellevue,King County,2065
Inglewood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1500
West Valley City,UT,Salt Lake City,Salt Lake County,920
Miramar,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1512
Thornton,CO,Denver-Aurora-Lakewood,Adams County,1249
Abilene,TX,Abilene,Taylor County,573
Billings,MT,Billings,Yellowstone County,675
Concord,CA,San Francisco-Oakland-Hayward,Contra Costa County,1695
Bloomington,IN,Bloomington,Monroe County,799
Boulder,CO,Boulder,Boulder County,1600
Beaverton,OR,Portland-Vancouver-Hillsboro,Washington County,1195.5
Carrollton,TX,Dallas-Fort Worth-Arlington,Denton County,1009.5
Coral Springs,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1236
Thousand Oaks,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,2059.5
Roseville,CA,Sacramento--Roseville--Arden-Arcade,Placer County,1527.5
